player_id,projection.adp,timestamp
0169a966-cf5f-4e6e-8b03-1583650fd6ae,150.8,1712696615.8285785
0169a966-cf5f-4e6e-8b03-1583650fd6ae,150.4,1712750400.1698697
0169a966-cf5f-4e6e-8b03-1583650fd6ae,149.9,1712836800.1461284
0169a966-cf5f-4e6e-8b03-1583650fd6ae,149.6,1712923200.2471962
0169a966-cf5f-4e6e-8b03-1583650fd6ae,150.0,1713096000.1189396
01ed7bc6-254e-4cc1-92f4-f2ba86746625,51.6,1712696615.8285785
01ed7bc6-254e-4cc1-92f4-f2ba86746625,52.2,1712750400.1698697
01ed7bc6-254e-4cc1-92f4-f2ba86746625,52.5,1712836800.1461284
01ed7bc6-254e-4cc1-92f4-f2ba86746625,52.4,1712923200.2471962
01ed7bc6-254e-4cc1-92f4-f2ba86746625,52.3,1713009600.1722534
01ed7bc6-254e-4cc1-92f4-f2ba86746625,52.5,1713096000.1189396
021635a5-9e24-419c-afe0-4db7f5e2cc2d,119.5,1712696615.8285785
021635a5-9e24-419c-afe0-4db7f5e2cc2d,118.7,1712750400.1698697
021635a5-9e24-419c-afe0-4db7f5e2cc2d,118.2,1712836800.1461284
021635a5-9e24-419c-afe0-4db7f5e2cc2d,117.6,1712923200.2471962
021635a5-9e24-419c-afe0-4db7f5e2cc2d,116.8,1713009600.1722534
021635a5-9e24-419c-afe0-4db7f5e2cc2d,116.5,1713096000.1189396
031e196b-ce1a-4890-93ad-2a7cefedfe5d,149.9,1712696615.8285785
031e196b-ce1a-4890-93ad-2a7cefedfe5d,150.4,1712750400.1698697
031e196b-ce1a-4890-93ad-2a7cefedfe5d,151.2,1712836800.1461284
031e196b-ce1a-4890-93ad-2a7cefedfe5d,151.6,1712923200.2471962
031e196b-ce1a-4890-93ad-2a7cefedfe5d,151.8,1713009600.1722534
031e196b-ce1a-4890-93ad-2a7cefedfe5d,152.1,1713096000.1189396
0357a12c-e7e4-47c4-bd88-440f21a6edc0,240.0,1712750400.1698697
03880d40-6efb-4aab-afec-8c9566f9b29e,228.9,1712696615.8285785
03880d40-6efb-4aab-afec-8c9566f9b29e,228.1,1712750400.1698697
03880d40-6efb-4aab-afec-8c9566f9b29e,226.9,1712923200.2471962
03880d40-6efb-4aab-afec-8c9566f9b29e,226.3,1713009600.1722534
03880d40-6efb-4aab-afec-8c9566f9b29e,226.4,1713096000.1189396
03b5560b-9a42-40c5-99db-d697c5ec7fa9,170.0,1712696615.8285785
03b5560b-9a42-40c5-99db-d697c5ec7fa9,169.7,1712750400.1698697
03b5560b-9a42-40c5-99db-d697c5ec7fa9,170.0,1712923200.2471962
03b5560b-9a42-40c5-99db-d697c5ec7fa9,170.1,1713009600.1722534
03b5560b-9a42-40c5-99db-d697c5ec7fa9,170.4,1713096000.1189396
047d564e-8993-4473-b72c-ab8ecbb1fdbd,85.5,1712696615.8285785
047d564e-8993-4473-b72c-ab8ecbb1fdbd,85.6,1712836800.1461284
047d564e-8993-4473-b72c-ab8ecbb1fdbd,85.8,1713009600.1722534
047d564e-8993-4473-b72c-ab8ecbb1fdbd,86.3,1713096000.1189396
05b708b9-ec27-4b6c-a485-5b2994b1a5f3,196.1,1712696615.8285785
05b708b9-ec27-4b6c-a485-5b2994b1a5f3,195.9,1712750400.1698697
05b708b9-ec27-4b6c-a485-5b2994b1a5f3,196.0,1712836800.1461284
05b708b9-ec27-4b6c-a485-5b2994b1a5f3,196.2,1712923200.2471962
05b708b9-ec27-4b6c-a485-5b2994b1a5f3,196.1,1713009600.1722534
05b708b9-ec27-4b6c-a485-5b2994b1a5f3,195.7,1713096000.1189396
0657d568-8a08-4c0b-8112-61bddce5edd0,239.6,1712696615.8285785
0657d568-8a08-4c0b-8112-61bddce5edd0,239.5,1712750400.1698697
0657d568-8a08-4c0b-8112-61bddce5edd0,239.7,1712836800.1461284
0657d568-8a08-4c0b-8112-61bddce5edd0,239.8,1712923200.2471962
0657d568-8a08-4c0b-8112-61bddce5edd0,239.9,1713096000.1189396
0684d766-82d6-4e8d-a99d-9a3ad23b9103,239.8,1712696615.8285785
0684d766-82d6-4e8d-a99d-9a3ad23b9103,239.7,1712750400.1698697
0684d766-82d6-4e8d-a99d-9a3ad23b9103,239.8,1712923200.2471962
0684d766-82d6-4e8d-a99d-9a3ad23b9103,239.7,1713009600.1722534
0684d766-82d6-4e8d-a99d-9a3ad23b9103,239.7,1713096000.1189396
06c716c4-808a-4e8a-9630-a379315ef34d,225.7,1712696615.8285785
